                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.54393,                0.13858,                0.04506,                0.38276,                 0.8243,                0.99169,                0.99157,                0.99484,                0.89083,                0.98846,                0.98799,                0.99186,                0.99067,                0.49159,                0.09118,                  0.006,                0.33831,                0.80639,              0.0098634,              0.0098634,              0.0098634
                     72,                0.54539,                0.13539,                0.04161,                0.38283,                0.82335,                0.99141,                0.99269,                 0.9949,                0.91233,                0.98686,                0.98946,                0.99196,                0.99107,                0.44981,                0.09661,                0.00457,                0.30083,                0.80432,              0.0098614,              0.0098614,              0.0098614
                     73,                0.52127,                0.10012,                 0.0399,                0.36915,                0.82346,                0.99249,                0.98849,                 0.9947,                0.90245,                0.99061,                 0.9836,                0.99193,                0.97645,                0.49126,                0.13047,                0.00587,                0.31728,                0.81002,              0.0098594,              0.0098594,              0.0098594
                     74,                0.53331,                0.14566,                0.05048,                0.38018,                0.82501,                0.99271,                0.99046,                 0.9948,                0.91068,                0.98998,                0.98748,                  0.993,                0.99248,                0.43979,                0.08658,                 0.0049,                0.30416,                0.80313,              0.0098574,              0.0098574,              0.0098574
                     75,                0.52833,                0.11886,                 0.0462,                0.36777,                0.82488,                0.99379,                 0.9916,                0.99487,                0.91745,                0.99044,                0.98444,                0.99219,                0.99123,                0.44041,                0.09598,                0.00426,                0.30823,                0.80141,              0.0098555,              0.0098555,              0.0098555
                     76,                0.53316,                0.12768,                0.04664,                0.38546,                0.81938,                0.99402,                0.99049,                0.99481,                0.92371,                0.99156,                0.98803,                0.99432,                 0.9933,                 0.4118,                0.06877,                 0.0037,                0.30839,                0.79658,              0.0098535,              0.0098535,              0.0098535
                     77,                0.49743,                0.12977,                0.04045,                0.37512,                0.81864,                0.99649,                0.99386,                0.99493,                0.91685,                0.99451,                0.99191,                0.99466,                0.99288,                0.42267,                0.07963,                0.00412,                0.28872,                0.79981,              0.0098515,              0.0098515,              0.0098515
                     78,                0.51656,                0.11694,                 0.0398,                0.35759,                0.82025,                0.99582,                 0.9933,                0.99493,                0.91501,                0.99332,                0.99085,                0.99455,                0.99373,                 0.4351,                0.07342,                0.00492,                0.28805,                0.79952,              0.0098495,              0.0098495,              0.0098495
                     79,                0.51056,                0.13288,                0.04105,                0.36565,                0.81668,                0.98927,                0.98452,                0.99443,                 0.9216,                0.98344,                0.97564,                0.98771,                0.98721,                0.41233,                  0.136,                0.00494,                0.30334,                0.79632,              0.0098475,              0.0098475,              0.0098475
                     80,                0.49927,                0.13894,                0.03823,                0.35732,                0.81752,                0.99706,                0.99305,                0.99496,                0.92182,                 0.9945,                0.99108,                0.99407,                0.99259,                0.42608,                0.08411,                0.00364,                0.29697,                 0.7973,              0.0098456,              0.0098456,              0.0098456
